parent,child
RaffinoseConsumptionimport,371601
SuccinateProductionexport,371601
SucroseConsumptionimport,371601
TrehaloseConsumptionimport,371601
4-AminobutyrateGABAProductionexport,1680
AcetateProductionexport,1680
BiotinVitaminB7Productionexport,1680
CellobioseConsumptionimport,1680
ChenodeoxycholicacidChenodeoxycholateProductionexport,1680
CholicacidCholateProductionexport,1680
D-FructoseFructoseConsumptionimport,1680
D-GalactoseConsumptionimport,1680
D-GlucoseGlucoseConsumptionimport,1680
D-PsicoseConsumptionimport,1680
DeoxycholicacidProductionexport,1680
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,1680
DimethylamineProductionexport,1680
EthanolProductionexport,1680
FolicacidFolateVitaminB9Productionexport,1680
FormateProductionexport,1680
FOSFructooligosaccharideConsumptionimport,1680
FructanInulinLevanMacromoleculedegradation,1680
GlycochenodeoxycholateConsumptionimport,1680
GlycocholateConsumptionimport,1680
GlycodeoxycholateConsumptionimport,1680
GlycolithocholateConsumptionimport,1680
HemicelluloseMacromoleculedegradation,1680
IsomaltoseConsumptionimport,1680
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1680
LactoseConsumptionimport,1680
LithocholicacidProductionexport,1680
MaltoseConsumptionimport,1680
MenaquinoneVitaminK2Consumptionimport,1680
MethylamineMonomethylamineProductionexport,1680
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Productionexport,1680
RaffinoseConsumptionimport,1680
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,1680
SuccinateProductionexport,1680
TaurochenodeoxycholateConsumptionimport,1680
TaurocholateConsumptionimport,1680
TaurodeoxycholateConsumptionimport,1680
TaurolithocholateConsumptionimport,1680
UreaConsumptionimport,1680
XOSXylooligosaccharideConsumptionimport,1680
AcetateProductionexport,1683
D-FructoseFructoseConsumptionimport,1683
D-GalactoseConsumptionimport,1683
D-PsicoseConsumptionimport,1683
EthanolProductionexport,1683
FormateProductionexport,1683
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1683
LactoseConsumptionimport,1683
RaffinoseConsumptionimport,1683
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,1683
SuccinateProductionexport,1683
UreaConsumptionimport,1683
AcetateProductionexport,28025
ChenodeoxycholicacidChenodeoxycholateProductionexport,28025
CholicacidCholateProductionexport,28025
D-FructoseFructoseConsumptionimport,28025
D-GalactosamineGalactosamineConsumptionimport,28025
D-GalactoseConsumptionimport,28025
D-GlucosamineGlucosamineConsumptionimport,28025
D-GlucoseGlucoseConsumptionimport,28025
D-PsicoseConsumptionimport,28025
DeoxycholicacidProductionexport,28025
EthanolProductionexport,28025
FolicacidFolateVitaminB9Consumptionimportproductionexport,28025
FormateProductionexport,28025
FOSFructooligosaccharideConsumptionimport,28025
GlycochenodeoxycholateConsumptionimport,28025
GlycocholateConsumptionimport,28025
GlycodeoxycholateConsumptionimport,28025
GlycolithocholateConsumptionimport,28025
HemicelluloseMacromoleculedegradation,28025
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,28025
LactoseConsumptionimport,28025
LithocholicacidProductionexport,28025
RaffinoseConsumptionimport,28025
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,28025
SuccinateProductionexport,28025
TaurochenodeoxycholateConsumptionimport,28025
TaurocholateConsumptionimport,28025
TaurodeoxycholateConsumptionimport,28025
TaurolithocholateConsumptionimport,28025
UreaConsumptionimport,28025
AcetateProductionexport,1681
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIProductionexport,1681
BiotinVitaminB7Productionexport,1681
ChenodeoxycholicacidChenodeoxycholateProductionexport,1681
CholicacidCholateProductionexport,1681
D-FructoseFructoseConsumptionimport,1681
D-GalactoseConsumptionimport,1681
D-GlucosamineGlucosamineConsumptionimport,1681
D-GlucoseGlucoseConsumptionimport,1681
D-MannitolMannitolConsumptionimport,1681
D-PsicoseConsumptionimport,1681
DeoxycholicacidProductionexport,1681
DimethylamineProductionexport,1681
EthanolProductionexport,1681
FolicacidFolateVitaminB9Productionexport,1681
FormateProductionexport,1681
FOSFructooligosaccharideConsumptionimport,1681
